has_banner,has_location,has_extended_profile,has_url,followers,friends,num_posts,has_Duplicate,onlyHasUrl,has_retweet,contains_hashTag,label
0,1,0,0,17,523,43,0,0,1,11,0
0,1,0,0,20,537,61,0,0,2,11,0
0,1,0,0,20,518,53,0,0,2,12,0
0,1,0,0,16,529,46,0,0,1,5,0
0,1,0,0,21,534,42,0,0,3,5,0
0,1,0,0,25,513,45,0,0,1,3,0
0,1,0,0,15,543,52,0,0,3,8,0
0,1,0,0,20,572,63,0,0,1,5,0
0,1,0,0,25,508,51,0,0,3,6,0
0,1,0,0,28,540,52,0,0,1,5,0
0,1,0,0,25,527,56,0,0,1,5,0
0,1,0,0,19,566,53,0,0,3,8,0
0,1,0,0,19,556,64,0,0,3,6,0
0,1,0,0,22,527,39,0,0,2,5,0
0,1,0,0,20,524,58,0,0,2,6,0
0,1,0,0,27,536,48,0,0,3,8,0
0,1,0,0,18,513,56,0,0,1,7,0
0,1,0,0,23,529,45,0,0,1,9,0
0,1,0,0,11,554,56,0,1,2,13,0
0,1,0,0,15,546,39,0,0,3,3,0
0,1,0,0,22,544,53,0,0,2,10,0
0,1,0,0,22,575,63,0,0,1,7,0
0,1,0,0,19,495,52,0,0,3,7,0
0,1,0,0,20,548,40,0,0,0,6,0
0,1,0,0,22,595,39,0,0,1,4,0
0,1,0,0,22,623,57,0,0,1,8,0
0,1,0,0,15,540,60,0,1,1,10,0
0,1,0,0,23,520,47,0,0,3,4,0
0,1,0,0,37,726,61,0,0,6,7,0
0,1,0,0,23,528,57,0,0,3,9,0
0,1,0,0,24,507,56,0,0,0,8,0
0,1,0,0,15,512,42,0,0,1,8,0
0,1,0,0,22,547,51,0,0,1,6,0
0,1,0,0,18,503,47,0,0,4,5,0
0,1,0,0,22,468,40,0,0,0,2,0
0,1,0,0,17,520,61,0,0,2,8,0
0,1,0,0,23,603,64,0,0,2,11,0
0,1,0,0,24,706,58,0,0,0,8,0
0,1,0,0,23,512,54,0,0,3,8,0
0,1,0,0,18,538,41,0,0,4,6,0
0,1,0,0,13,504,53,0,0,1,9,0
0,1,0,0,17,506,46,0,0,1,8,0
0,1,0,0,16,559,48,0,0,1,6,0
0,1,0,0,31,583,52,0,0,2,6,0
0,1,0,0,21,557,44,0,0,3,11,0
0,1,0,0,26,648,57,0,0,1,4,0
0,1,0,0,23,549,62,0,0,2,12,0
0,1,0,0,20,515,45,0,0,2,2,0
0,1,0,0,20,518,51,0,0,2,8,0
0,1,0,0,21,551,58,0,0,2,6,0
0,1,0,0,26,501,44,0,0,1,8,0
0,1,0,0,15,498,55,0,0,1,9,0
0,1,0,0,20,511,40,0,0,1,6,0
0,1,0,0,25,593,44,0,0,0,12,0
0,1,0,0,28,506,49,0,0,2,10,0
0,1,0,0,18,535,51,0,1,2,8,0
0,1,0,0,27,616,67,0,0,4,14,0
0,1,0,0,19,547,44,0,0,1,6,0
0,1,0,0,26,532,42,0,0,1,4,0
0,1,0,0,15,565,52,0,0,1,11,0
0,1,0,0,25,526,55,0,0,1,7,0
0,1,0,0,33,651,43,0,0,3,5,0
0,1,0,0,18,508,52,0,0,1,6,0
0,1,0,0,16,561,62,0,0,2,11,0
0,1,0,0,16,445,37,0,0,0,9,0
0,1,0,0,13,547,50,0,0,2,6,0
0,1,0,0,35,519,44,0,0,6,8,0
0,1,0,0,19,404,44,0,0,0,9,0
0,1,0,0,24,483,56,0,0,0,9,0
0,1,0,0,19,427,48,0,0,0,10,0
0,1,0,0,14,432,39,0,0,1,8,0
0,1,0,0,31,628,44,0,0,4,4,0
0,1,0,0,18,627,69,0,0,1,9,0
