has_banner,has_location,has_extended_profile,has_url,followers,friends,label
1,1,1,1,304,304,1
1,1,1,1,299,243,1
1,1,1,0,359,306,1
1,1,1,0,142,391,1
0,1,0,0,28,582,0
0,1,0,0,15,260,0
0,1,0,0,23,306,0
0,1,0,0,27,773,0
0,1,1,1,59,962,0
0,1,0,0,27,681,0
1,1,1,1,284,218,1
1,0,0,0,38,28,1
1,1,1,1,1502,1504,1
0,1,0,0,11,245,0
0,1,0,1,4,615,0
1,0,0,0,524,510,1
0,1,0,0,7,271,0
1,1,1,1,655,512,1
1,1,1,0,82,224,1
1,1,1,0,881,896,1
0,1,0,0,8,221,0
1,1,1,1,120,113,1
0,1,1,0,658,941,1
1,1,1,1,224,470,1
1,0,1,0,499,496,1
1,1,0,0,89,330,1
0,1,0,0,8,206,0
1,1,1,0,352,986,1
0,1,0,0,12,503,0
0,1,0,0,6,175,0
0,1,0,0,17,335,0
1,1,1,1,772,185,1
1,0,0,0,7921,512,1
1,1,1,1,416,469,1
1,1,1,0,116,135,1
1,1,1,1,249,185,1
1,1,1,0,138,276,1
1,0,0,1,1185,96,1
0,1,0,0,8,200,0
1,1,1,0,223,318,1
1,1,1,0,351,135,1
1,0,1,1,312,39,1
1,1,1,1,106,151,1
1,1,1,0,678,250,1
1,1,0,1,346,456,1
0,1,0,0,16,688,0
0,1,0,0,12,226,0
0,1,0,0,12,245,0
1,1,1,0,241,345,1
0,1,0,0,8,226,0
0,1,0,0,11,228,0
1,1,1,0,359,441,1
1,0,0,0,123,102,1
0,1,0,0,18,371,0
0,0,0,0,5,960,0
0,1,1,0,4,624,0
0,1,0,0,19,735,0
1,1,1,0,588,561,1
0,1,0,0,16,369,0
0,1,0,0,24,538,0
0,1,0,0,17,217,0
1,1,1,0,237,218,1
1,0,1,0,144,193,1
0,1,0,0,9,201,0
0,1,0,0,13,740,0
0,0,0,0,3,418,0
1,1,1,1,1226,597,1
1,0,1,0,572,561,1
1,1,1,1,449,369,1
1,1,1,0,794,1463,1
1,1,1,1,2717,2095,1
0,1,0,0,15,324,0
1,1,1,0,783,1993,1
1,1,1,0,639,559,1
0,1,1,1,109,425,0
1,1,0,0,546,423,1
0,1,0,0,15,296,0
0,1,0,0,16,299,0
0,1,0,0,15,668,0
0,1,0,0,11,201,0
1,1,1,0,321,547,1
1,1,1,1,3623,2449,1
1,1,0,0,1187,2002,1
1,1,1,0,271,253,1
0,1,0,0,17,587,0
1,1,0,0,222,340,1
1,1,1,0,79,261,1
1,0,0,0,169,121,1
0,1,0,0,14,305,0
0,1,0,0,23,583,0
1,1,1,1,789,271,1
1,1,1,1,426,991,1
0,1,0,0,9,201,0
0,1,0,0,12,218,0
0,1,0,0,7,242,0
1,1,1,0,808,985,1
0,1,0,0,9,234,0
1,1,0,0,18,73,1
1,1,1,1,1060,557,1
1,0,1,0,1470,1901,1
1,1,1,0,328,178,1
0,1,0,0,12,242,0
1,0,1,1,904,1996,1
0,1,0,0,252,438,1
1,1,1,1,3798,2886,1
0,1,0,0,20,565,0
0,1,0,0,18,263,0
0,1,1,0,58,814,0
0,1,0,0,19,302,0
0,1,0,0,12,260,0
0,1,0,0,20,349,0
1,1,1,0,616,604,1
1,1,1,1,1193,351,1
1,1,1,0,196,79,1
1,1,0,0,1207,138,1
0,0,0,0,3,426,0
0,0,0,0,43,155,1
0,1,1,0,408,421,1
1,0,0,0,244,275,1
1,1,0,0,325,316,1
0,0,0,0,4,515,0
0,1,0,0,8,206,0
0,1,0,0,24,584,0
0,1,0,0,9,211,0
0,1,1,0,53,546,0
0,1,0,0,13,312,0
1,0,0,0,188,216,1
