user_id,user_name,has_url,has_banner,has_location,has_extended_profile,followers_amount,friends_amount
1109651939082420200,kassyinkyoto11,0,0,1,0,1,20
1121454374193107000,bedelxi,1,0,0,1,1,37
1275562634,luca_cl1,0,1,1,1,8,206
823913760892911600,Jasper_Mei,0,1,1,1,5,127
1085882360,sajidjmi12,0,0,1,0,7,490
769412677,LooseLippin,1,1,1,1,316,317
1083255136678486000,supabetz,0,0,0,0,2,57
494124113,knkbga,1,1,1,1,84,231
867659495945773000,Nao10sai,1,1,1,1,327,193
936586040550228000,Admildo68,0,1,1,1,11,47
1121560446471950300,DanielHartung13,0,0,1,1,0,12
1121391928376008700,Marcosmh18,0,1,1,0,3,30
1021071799,_jinliang,1,1,1,1,151,1597
1119938167099002900,SDo74516648,0,0,0,0,1,13
75757873,hsvdrv,1,0,1,1,105,874
467253061,fndhas,0,1,1,1,31,339
948432180698538000,ThnhMinh5,0,0,1,1,35,488
887010703,felifernandez5,0,1,0,0,147,154
785860691181862900,ronaldsholt,0,1,1,0,31,130
1116880324401737700,theksmshow,0,1,0,0,27,240
134760249,athyuttamre,1,1,1,1,1361,2223
11851162,brimmy,0,0,1,0,23,188
2730653606,rockersgz,1,1,1,1,144,563
741644189612580900,Razatastic,1,1,1,1,14,74
1538911080,mrolaolu,1,0,1,1,1360,573
1651667683,xtabbas,0,1,1,0,27,229
2267486930,anhld_tw,0,0,0,0,5,52
1117106429435842600,sc315776,0,1,1,0,5,81
822402529,nunez_giovanni,1,0,1,0,58,769
171208155,ymaeharaa,0,0,1,1,339,2349
954731683705774100,Akram_Aznakour,0,0,1,1,12,227
891232910229033000,Codestar007,1,1,1,0,66,140
2665101656,Hugo_Yuguo_Z,0,0,1,1,1,14
3154313891,HecticHiccups,0,1,1,0,17,151
435010815,AyuAnnisa5,0,1,0,0,245,309
1064049788906287100,HmbleP,0,1,0,0,6,101
850413739383935000,pcrunn,1,1,1,0,44,286
2981343051,pataghom,0,1,1,1,172,305
1184539130,SeasonQiu,0,1,1,0,68,214
1098225005605793800,googler2019,1,1,1,1,1,22
1119640984026013700,aisecer,0,0,1,0,2,26
51790870,cemuzunoglu,0,0,0,0,38,92
1048989755785003000,leninpaulinon,1,0,1,1,17,220
1016702631195103200,marija_031,1,1,1,0,24,169
3342954803,allenajtkd,0,1,1,1,159,708
29944969,glavy87,0,0,0,0,14,262
995384341072138200,MediTheDev,1,1,1,0,49,69
2758907940,supertomelo,1,1,1,1,57,298
3390482901,augusta_007,0,1,1,0,2,2215
38444714,tsimhawj,0,0,1,0,46,112
288191669,Sploat,0,1,0,0,31,284
1120429085296083000,SethAnd38206517,0,1,0,1,0,24
1145457493,filipkjern,1,1,1,0,92,1563
132792401,wiineeth,1,1,1,1,314,389
1120333915372257300,carterharrisonn,0,0,0,0,0,7
847836366964572200,ix8ksevqPVMohMO,0,1,1,1,140,711
860438302633074700,snow8399,0,1,1,1,1,35
1097295808741941200,cybartist,0,1,0,0,1,8
1048965272588050400,Richard12856585,0,1,1,0,8,430
2246946236,BRIANKIGO1,0,1,1,0,42,446
43057240,aphanther,0,0,0,0,18,985
779009441194610700,zhengbin_deng,0,0,0,0,2,18
1120182081009541100,pitongway,0,1,1,1,4,89
527722800,stevech12,0,0,0,0,153,1007
1855558279,tonykablan,0,0,0,0,95,388
844868373175550000,HmidiSlim1,0,0,0,0,10,151
956399485764165600,slvitorls,0,1,1,1,13,82
1114098393230401500,PEamcharoenying,1,1,1,1,7,24
805918559994003500,williamrsanches,0,0,0,1,6,161
1119221839832780800,aaron_gokani,0,1,0,1,0,11
2769508094,rayanhiron,1,1,1,0,197,167
962428539353096200,EduadoOkech,1,1,1,1,30,174
1076752658357149700,zhifengzhang6,0,0,1,0,2,45
181113488,dytra_io,0,1,0,1,463,696
3187609699,llllnen,0,1,0,0,5,9
1286411269,shawnhuangca,0,1,1,0,22,108
76995784,gh_brts,0,1,0,0,26,583
308347877,_ninostephen_,0,1,0,0,165,1610
1002412236135071700,angelaserrano33,0,0,1,0,3,65
2986449838,rmsorin,1,0,1,0,191,192
117537381,SteveCasella,0,1,1,0,1174,428
763287409320726500,AtBrandonLara,0,0,1,1,27,41
865282344369967100,limefiend,1,1,1,1,219,3986
271067305,marchinidavide,1,1,1,1,133,53
157902958,arleckk,0,1,1,1,202,430
781573980,wheim7,0,0,0,0,16,461
4082014617,Nidal5129,0,0,0,0,23,64
818150818717331500,AbhayNayar,1,1,0,1,52,779
3173185688,zupalux,1,1,1,0,11,256
30103996,TheCandace018,1,1,1,0,304,283
764700709304447000,avithemad,0,0,0,0,6,30
959577037034938400,Bruna25050412,0,0,0,0,4,100
226083375,rai_cnjp,0,0,0,0,1,10
417936117,josesanchis16,1,1,1,1,263,44
185098609,r4n4m4hmud,1,1,1,0,99,584
1074700885534695400,Alex_Pierre7,0,0,0,0,62,2382
2298464148,_Kowli,0,1,0,0,110,315
1072204823905296400,Matsu80559011,0,0,0,0,0,18
56171984,fnfloresr,0,1,1,0,114,1185
1119470391066546200,TBBushCode,0,1,1,1,0,21
168308824,RealJeeye,0,1,0,0,12,9
1222208221,CatsFoley,1,1,1,0,501,3933
716844242,RainyDayss,0,1,1,0,27,136
303509027,odeioplacas,1,1,1,1,162,367
206999277,Siddhu0703,0,1,1,1,53,263
879563239725641700,corson_kim,0,0,0,1,7,31
1412259774,Arman0014,0,1,1,0,130,455
775004785271464000,mapv04,0,0,0,0,4,41
154504561,bmulyawan_,0,1,0,0,2,102
957182848909197300,YimingWei6,0,0,0,0,1,24
1468264650,bearmace,0,1,0,0,1926,4503
63031900,sukantamaikap,0,1,1,0,315,2458
273738913,albertchon,0,1,1,0,75,665
881146635815862300,sqlStefan,0,1,1,0,6,131
245556369,jlwhoo7,1,1,1,0,96,302
3160830908,TsengSamson,0,0,0,0,36,414
1118370727990898700,sungii000,0,1,1,1,0,9
63287548,TheJuicyChill,0,0,1,0,65,76
1297949514,LanzPN,0,1,0,0,174,1048
1118931962486513700,Tino17916705,0,0,0,0,2,89
37663179,MarkoBenigar,1,1,1,0,86,873
3283424120,iammuchelle,0,1,0,0,42,346
701342175532081200,balurez,0,1,0,1,33,743
1109787586975973400,LeonDeHill,0,1,0,0,4,41
2288578040,bw_nelson,1,1,1,0,301,758
32972922,praveenr019,0,1,1,1,622,5003
856242291975094300,itsben_payne,0,1,0,0,9,67
966140433435955200,nicholaswwhite,1,1,0,1,22261,5576
54706320,dangkev,0,1,1,0,74,181
120825851,rayankikarthik,0,0,1,1,50,1207
305700487,kalafleming0,1,1,1,0,241,294
